,,,,Marketwise Price & Arrival Report (30-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 30 Jan, 2026","Price on 29 Jan, 2026","Price on 28 Jan, 2026","Arrival on 30 Jan, 2026","Arrival on 29 Jan, 2026","Arrival on 28 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1860.00,1850.00,2000.00,8.90,10.00,1.00
Cereals,Paddy(Common),2369.00,3878.62,4046.15,4260.54,29.00,142.00,126.00
Fibre Crops,Cotton,7710.00,7504.49,7620.00,7628.29,474.80,417.50,351.40
Oil Seeds,Mustard,5950.00,6800.00,-,6221.95,2.30,-,2.10
Pulses,Bengal Gram(Gram)(Whole),5650.00,5105.00,-,5318.00,3.00,-,15.80
Pulses,Green Gram(Moong)(Whole),8768.00,6355.00,-,6545.00,1.70,-,1.00
Vegetables,Onion,-,1589.43,1713.43,1703.51,86.01,123.68,132.72
Vegetables,Potato,-,708.86,663.65,679.12,251.45,333.86,215.75
Vegetables,Tomato,-,2018.86,2101.27,2448.02,105.07,116.43,89.66

