,,,,Marketwise Price & Arrival Report (17-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Jan, 2026","Price on 16 Jan, 2026","Price on 15 Jan, 2026","Arrival on 17 Jan, 2026","Arrival on 16 Jan, 2026","Arrival on 15 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2000.00,2000.00,2000.00,3.90,5.50,2.70
Cereals,Paddy(Common),2369.00,-,3484.19,3800.00,-,210.50,28.70
Fibre Crops,Cotton,7710.00,7331.58,7519.52,7529.65,168.60,356.03,158.00
Oil Seeds,Groundnut,7263.00,-,-,5570.00,-,-,0.50
Oil Seeds,Mustard,5950.00,6300.00,6500.00,6500.00,1.40,13.30,1.50
Pulses,Bengal Gram(Gram)(Whole),5650.00,-,5582.00,-,-,2.50,-
Pulses,Green Gram(Moong)(Whole),8768.00,6412.00,-,6070.00,2.00,-,0.80
Vegetables,Onion,-,1794.11,1798.32,1695.74,142.05,43.94,71.89
Vegetables,Potato,-,635.87,626.30,624.96,408.41,276.70,364.25
Vegetables,Tomato,-,2814.98,2850.67,2852.38,120.08,60.94,61.72

