,,,,Marketwise Price & Arrival Report (29-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 29 Mar, 2026","Price on 28 Mar, 2026","Price on 27 Mar, 2026","Arrival on 29 Mar, 2026","Arrival on 28 Mar, 2026","Arrival on 27 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,-,1905.00,1900.00,-,5.70,7.50
Cereals,Barley(Jau),2150.00,2078.57,2065.83,1950.89,147.80,276.00,145.50
Fibre Crops,Cotton,7710.00,-,7673.74,7574.95,-,188.30,205.30
Oil Seeds,Mustard,6200.00,6351.75,6346.14,6279.93,887.20,2602.90,2338.70
Vegetables,Onion,-,1216.36,1031.89,1259.00,115.50,181.70,88.37
Vegetables,Potato,-,467.22,438.86,495.77,315.65,488.20,290.44
Vegetables,Tomato,-,1097.83,944.08,1369.30,94.64,128.20,85.73

