,,,,Marketwise Price & Arrival Report (03-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 03 Feb, 2026","Price on 02 Feb, 2026","Price on 01 Feb, 2026","Arrival on 03 Feb, 2026","Arrival on 02 Feb, 2026","Arrival on 01 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1850.00,-,-,1.50,-,-
Cereals,Paddy(Common),2369.00,3900.00,4340.00,3900.00,64.50,49.00,6.00
Fibre Crops,Cotton,7710.00,7534.07,7392.33,7770.00,316.40,303.90,10.80
Oil Seeds,Mustard,5950.00,-,6300.00,6800.00,-,3.70,1.20
Pulses,Bengal Gram(Gram)(Whole),5650.00,5100.00,5090.00,-,2.00,9.50,-
Pulses,Green Gram(Moong)(Whole),8768.00,6900.00,-,-,0.90,-,-
Vegetables,Onion,-,1559.70,1569.22,1737.73,195.84,161.24,97.44
Vegetables,Potato,-,652.97,554.32,648.02,341.20,400.07,300.90
Vegetables,Tomato,-,1545.79,1837.38,1657.63,97.34,109.81,108.44

