,,,,Marketwise Price & Arrival Report (30-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 30 Jan, 2026","Price on 29 Jan, 2026","Price on 28 Jan, 2026","Arrival on 30 Jan, 2026","Arrival on 29 Jan, 2026","Arrival on 28 Jan, 2026"
Pulses,Lentil(Masur)(Whole),6700.00,8851.02,8983.33,9150.46,98.00,84.00,109.00
Vegetables,Onion,-,2706.34,2711.84,2900.00,378.50,532.00,390.00
Vegetables,Potato,-,1249.10,1290.39,1259.11,558.00,775.50,546.00
Vegetables,Tomato,-,2423.28,2926.57,2805.46,78.60,122.70,95.30

