state,commodity_group,commodity,predicted_date,predicted_price,confidence_score,model_used
Chandigarh,Vegetables,Onion,2026-01-26,1737.51,0.65,MA
Chandigarh,Vegetables,Onion,2026-01-27,1691.54,0.65,MA
Chandigarh,Vegetables,Onion,2026-01-28,1691.89,0.65,MA
Chandigarh,Vegetables,Potato,2026-01-26,388.96,0.65,MA
Chandigarh,Vegetables,Potato,2026-01-27,404.67,0.65,MA
Chandigarh,Vegetables,Potato,2026-01-28,386.81,0.65,MA
Chandigarh,Vegetables,Tomato,2026-01-26,2787.59,0.65,MA
Chandigarh,Vegetables,Tomato,2026-01-27,2830.18,0.65,MA
Chandigarh,Vegetables,Tomato,2026-01-28,2863.01,0.65,MA
