state,commodity,model,rmse,mae,mape,confidence,train_points
Haryana,Bajra(Pearl Millet/Cumbu),hybrid_trend,0.0,0.0,0.0,LOW,3
Haryana,Cotton,hybrid_trend,0.0,0.0,0.0,LOW,3
Haryana,Mustard,hybrid_trend,0.0,0.0,0.0,LOW,3
Haryana,Onion,hybrid_trend,0.0,0.0,0.0,LOW,3
Haryana,Paddy(Common),hybrid_ma,0.0,0.0,0.0,LOW,2
Haryana,Potato,hybrid_trend,0.0,0.0,0.0,LOW,3
Haryana,Tomato,hybrid_trend,0.0,0.0,0.0,LOW,3
Haryana,Toria,hybrid_ma,0.0,0.0,0.0,LOW,2
