,,,,Marketwise Price & Arrival Report (13-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 13 Mar, 2026","Price on 12 Mar, 2026","Price on 11 Mar, 2026","Arrival on 13 Mar, 2026","Arrival on 12 Mar, 2026","Arrival on 11 Mar, 2026"
Cereals,Wheat,2585.00,-,-,2570.00,-,-,4.55
Fibre Crops,Cotton,7710.00,7377.32,7090.71,7226.36,20.50,10.50,5.50
Oil Seeds,Mustard,6200.00,-,6794.00,-,-,4.00,-
Vegetables,Onion,-,1216.27,1181.48,1210.51,310.39,281.37,315.64
Vegetables,Potato,-,305.45,349.94,322.12,836.33,566.93,1128.51
Vegetables,Tomato,-,1247.94,1593.65,1614.72,135.10,110.37,107.30

