,,,,Marketwise Price & Arrival Report (31-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 31 Mar, 2026","Price on 30 Mar, 2026","Price on 29 Mar, 2026","Arrival on 31 Mar, 2026","Arrival on 30 Mar, 2026","Arrival on 29 Mar, 2026"
Cereals,Maize,2400.00,2318.80,2032.63,2376.33,148.90,980.40,210.00
Cereals,Paddy(Common),2369.00,2370.78,2395.39,2389.02,2457.20,242.70,100.10
Cereals,Wheat,2585.00,-,2300.00,-,-,1.33,-
Fibre Crops,Cotton,7710.00,6676.16,6687.49,6466.34,126.66,24.00,138.21
Oil Seeds,Groundnut,7263.00,7011.00,6896.00,-,1.44,0.84,-
Oil Seeds,Soyabean,5328.00,-,5522.00,-,-,2.23,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,-,7722.00,-,-,14.63,-
Pulses,Bengal Gram(Gram)(Whole),5875.00,-,5336.00,-,-,27.05,-
Pulses,Green Gram(Moong)(Whole),8768.00,7100.00,-,-,28.70,-,-
Vegetables,Onion,-,1100.00,1100.00,1100.00,187.50,72.70,128.90
Vegetables,Potato,-,989.44,1005.87,1077.87,336.70,332.20,379.50
Vegetables,Tomato,-,803.50,813.66,816.20,228.30,219.60,250.00

