,,,,Marketwise Price & Arrival Report (25-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 25 Jan, 2026","Price on 24 Jan, 2026","Price on 23 Jan, 2026","Arrival on 25 Jan, 2026","Arrival on 24 Jan, 2026","Arrival on 23 Jan, 2026"
Cereals,Maize,2400.00,-,-,1940.00,-,-,15.06
Cereals,Paddy(Common),2369.00,2399.98,2396.60,2416.46,45.10,94.10,123.40
Fibre Crops,Cotton,7710.00,7714.00,7691.23,7913.17,12.50,135.18,899.21
Oil Seeds,Groundnut,7263.00,-,-,4500.00,-,-,9.50
Oil Seeds,Soyabean,5328.00,-,5469.00,5419.00,-,12.80,29.14
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,-,7666.00,7556.94,-,7.70,4.35
Pulses,Black Gram(Urd Beans)(Whole),7800.00,-,-,7312.00,-,-,0.40
Pulses,Green Gram(Moong)(Whole),8768.00,-,-,7752.00,-,-,0.15
Vegetables,Onion,-,1200.00,1304.90,1422.05,145.10,85.50,211.80
Vegetables,Potato,-,1012.86,1108.35,1008.04,301.70,220.40,218.80
Vegetables,Tomato,-,998.55,1011.83,1203.62,275.70,290.70,190.80

