,,,,Marketwise Price & Arrival Report (17-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Mar, 2026","Price on 16 Mar, 2026","Price on 15 Mar, 2026","Arrival on 17 Mar, 2026","Arrival on 16 Mar, 2026","Arrival on 15 Mar, 2026"
Cereals,Maize,2400.00,2300.00,2253.40,2300.00,93.60,208.57,123.90
Cereals,Paddy(Common),2369.00,2400.01,2371.42,2373.71,48.10,514.60,198.10
Fibre Crops,Cotton,7710.00,6715.81,7028.53,6264.00,237.92,47.80,107.61
Oil Seeds,Groundnut,7263.00,6860.00,6809.00,-,1.14,4.02,-
Oil Seeds,Soyabean,5328.00,-,5319.00,-,-,1.68,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7025.00,7592.72,-,9.60,18.55,-
Pulses,Bengal Gram(Gram)(Whole),5875.00,-,5189.00,-,-,93.60,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,-,7000.00,-,-,0.50,-
Pulses,Green Gram(Moong)(Whole),8768.00,6500.00,6600.00,-,36.10,469.00,-
Vegetables,Onion,-,1100.00,1188.88,1000.00,99.60,148.80,119.90
Vegetables,Potato,-,1042.27,1093.60,1019.61,230.20,2517.60,234.60
Vegetables,Tomato,-,700.00,798.61,703.73,273.00,252.30,214.70

