,,,,Marketwise Price & Arrival Report (08-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 08 Feb, 2026","Price on 07 Feb, 2026","Price on 06 Feb, 2026","Arrival on 08 Feb, 2026","Arrival on 07 Feb, 2026","Arrival on 06 Feb, 2026"
Cereals,Maize,2400.00,2300.00,2300.00,2388.89,83.00,38.00,45.00
Cereals,Paddy(Common),2369.00,2384.31,2406.85,2417.18,149.10,30.50,293.00
Fibre Crops,Cotton,7710.00,-,7419.05,7908.90,-,80.16,834.04
Oil Seeds,Groundnut,7263.00,-,9801.00,-,-,485.00,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,9408.00,-,-,0.29,-
Oil Seeds,Soyabean,5328.00,-,5800.00,5769.00,-,15.11,30.87
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,-,-,7929.00,-,-,4.00
Vegetables,Onion,-,1192.82,1200.00,1103.48,97.50,161.70,151.90
Vegetables,Potato,-,1089.55,977.95,1019.30,467.90,292.80,366.80
Vegetables,Tomato,-,696.25,697.73,695.60,222.90,171.60,190.80

