,,,,Marketwise Price & Arrival Report (24-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 24 Jan, 2026","Price on 23 Jan, 2026","Price on 22 Jan, 2026","Arrival on 24 Jan, 2026","Arrival on 23 Jan, 2026","Arrival on 22 Jan, 2026"
Cereals,Maize,2400.00,-,1940.00,1955.00,-,15.06,7.95
Cereals,Paddy(Common),2369.00,2396.60,2416.46,2405.63,94.10,123.40,141.60
Fibre Crops,Cotton,7710.00,7691.23,7913.17,7885.66,135.18,899.21,813.99
Oil Seeds,Groundnut,7263.00,-,4500.00,4150.00,-,9.50,7.05
Oil Seeds,Soyabean,5328.00,5469.00,5419.00,5379.00,12.80,29.14,52.68
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7666.00,7556.94,-,7.70,4.35,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,-,7312.00,6859.00,-,0.40,0.25
Pulses,Green Gram(Moong)(Whole),8768.00,-,7752.00,-,-,0.15,-
Vegetables,Onion,-,1304.90,1422.05,1420.33,85.50,211.80,143.60
Vegetables,Potato,-,1108.35,1008.04,1032.26,220.40,218.80,312.50
Vegetables,Tomato,-,1011.83,1203.62,1193.34,290.70,190.80,169.00

