,,,,Marketwise Price & Arrival Report (21-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 21 Jan, 2026","Price on 20 Jan, 2026","Price on 19 Jan, 2026","Arrival on 21 Jan, 2026","Arrival on 20 Jan, 2026","Arrival on 19 Jan, 2026"
Cereals,Maize,2400.00,2307.17,1800.00,1760.00,73.10,11.82,5.04
Cereals,Paddy(Common),2369.00,2589.79,2401.70,2489.28,105.44,100.80,91.80
Fibre Crops,Cotton,7710.00,7889.93,7902.42,7603.56,815.80,952.69,147.97
Oil Seeds,Groundnut,7263.00,4200.00,5350.00,5950.00,5.55,4.85,7.85
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,10025.00,-,-,1.30,-,-
Oil Seeds,Soyabean,5328.00,5349.00,5369.00,5365.00,30.48,40.24,26.75
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7344.00,6803.28,7074.00,19.70,5.00,5.30
Pulses,Green Gram(Moong)(Whole),8768.00,5500.00,-,-,1.00,-,-
Vegetables,Onion,-,1378.39,1363.56,1315.13,155.10,182.90,146.30
Vegetables,Potato,-,1009.44,1110.01,1206.73,306.70,492.50,399.60
Vegetables,Tomato,-,815.22,1001.12,1208.26,242.50,357.50,384.00

