,,,,Marketwise Price & Arrival Report (24-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 24 Mar, 2026","Price on 23 Mar, 2026","Price on 22 Mar, 2026","Arrival on 24 Mar, 2026","Arrival on 23 Mar, 2026","Arrival on 22 Mar, 2026"
Cereals,Maize,2400.00,2124.77,2016.90,2328.64,679.50,4795.66,215.10
Cereals,Paddy(Common),2369.00,2374.48,2373.87,2376.54,2129.31,1612.80,1562.40
Fibre Crops,Cotton,7710.00,6546.43,7038.65,6610.19,321.50,212.40,133.19
Oil Seeds,Groundnut,7263.00,7023.00,6729.00,-,1.20,2.25,-
Oil Seeds,Soyabean,5328.00,5491.00,5489.00,-,5.53,5.03,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7521.37,7425.89,-,36.09,41.84,-
Pulses,Bengal Gram(Gram)(Whole),5875.00,5219.00,5219.00,-,62.74,65.71,-
Pulses,Green Gram(Moong)(Whole),8768.00,6650.00,6600.00,-,48.40,50.00,-
Vegetables,Onion,-,1100.00,1033.58,1054.45,98.50,81.30,49.40
Vegetables,Potato,-,1103.45,1191.50,1162.01,451.90,405.50,250.60
Vegetables,Tomato,-,556.89,696.85,689.92,217.70,239.60,225.80

