,,,,Marketwise Price & Arrival Report (10-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 10 Feb, 2026","Price on 09 Feb, 2026","Price on 08 Feb, 2026","Arrival on 10 Feb, 2026","Arrival on 09 Feb, 2026","Arrival on 08 Feb, 2026"
Cereals,Maize,2400.00,2332.97,2350.00,2300.00,36.40,22.50,83.00
Cereals,Paddy(Common),2369.00,2366.79,2380.72,2384.31,143.50,101.10,149.10
Fibre Crops,Cotton,7710.00,7814.78,7873.02,-,698.64,871.29,-
Oil Seeds,Soyabean,5328.00,5299.00,5519.00,-,12.60,23.10,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7734.87,7600.00,-,3.80,0.20,-
Pulses,Green Gram(Moong)(Whole),8768.00,-,5100.00,-,-,10.70,-
Vegetables,Onion,-,1166.58,1116.50,1192.82,143.30,99.10,97.50
Vegetables,Potato,-,950.64,842.28,1089.55,484.80,136.70,467.90
Vegetables,Tomato,-,622.19,795.41,696.25,247.00,214.80,222.90

