,,,,Marketwise Price & Arrival Report (14-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 14 Mar, 2026","Price on 13 Mar, 2026","Price on 12 Mar, 2026","Arrival on 14 Mar, 2026","Arrival on 13 Mar, 2026","Arrival on 12 Mar, 2026"
Cereals,Maize,2400.00,2276.02,2126.23,2300.00,277.30,269.69,174.40
Cereals,Paddy(Common),2369.00,2369.01,2388.61,2377.99,178.10,0.10,145.10
Fibre Crops,Cotton,7710.00,6192.00,6474.38,6454.76,84.32,152.33,123.10
Oil Seeds,Groundnut,7263.00,-,-,7170.00,-,-,0.60
Oil Seeds,Soyabean,5328.00,-,5459.00,5329.00,-,6.12,5.59
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7443.00,7496.47,7254.13,0.40,16.74,23.73
Pulses,Bengal Gram(Gram)(Whole),5875.00,-,5185.91,5176.65,-,205.18,190.81
Pulses,Green Gram(Moong)(Whole),8768.00,-,-,7175.00,-,-,7.40
Vegetables,Onion,-,1027.46,1117.21,1056.12,190.90,91.80,162.90
Vegetables,Potato,-,784.54,761.71,1030.75,296.20,517.90,540.00
Vegetables,Tomato,-,696.10,559.48,560.17,181.90,202.60,272.40

