,,,,Marketwise Price & Arrival Report (26-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 26 Mar, 2026","Price on 25 Mar, 2026","Price on 24 Mar, 2026","Arrival on 26 Mar, 2026","Arrival on 25 Mar, 2026","Arrival on 24 Mar, 2026"
Cereals,Maize,2400.00,2042.91,2052.87,2124.77,630.92,646.10,679.50
Cereals,Paddy(Common),2369.00,2370.79,2376.72,2374.48,1562.40,1946.00,2129.31
Fibre Crops,Cotton,7710.00,6811.70,6661.31,6546.43,165.09,191.07,321.50
Oil Seeds,Groundnut,7263.00,-,-,7023.00,-,-,1.20
Oil Seeds,Soyabean,5328.00,5429.00,5481.00,5491.00,3.13,4.29,5.53
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7497.83,7410.89,7521.37,25.75,29.95,36.09
Pulses,Bengal Gram(Gram)(Whole),5875.00,5209.00,5189.00,5219.00,25.68,53.29,62.74
Pulses,Green Gram(Moong)(Whole),8768.00,6700.00,6600.00,6650.00,26.00,34.50,48.40
Vegetables,Onion,-,1062.37,1094.21,1100.00,231.70,234.20,98.50
Vegetables,Potato,-,1094.36,1064.96,1103.45,680.40,404.10,451.90
Vegetables,Tomato,-,791.88,563.76,556.89,206.40,217.60,217.70

