,,,,Marketwise Price & Arrival Report (16-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 16 Mar, 2026","Price on 15 Mar, 2026","Price on 14 Mar, 2026","Arrival on 16 Mar, 2026","Arrival on 15 Mar, 2026","Arrival on 14 Mar, 2026"
Cereals,Maize,2400.00,2253.40,2300.00,2276.02,208.57,123.90,277.30
Cereals,Paddy(Common),2369.00,2371.42,2373.71,2369.01,514.60,198.10,178.10
Fibre Crops,Cotton,7710.00,7028.53,6264.00,6192.00,47.80,107.61,84.32
Oil Seeds,Groundnut,7263.00,6809.00,-,-,4.02,-,-
Oil Seeds,Soyabean,5328.00,5319.00,-,-,1.68,-,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7592.72,-,7443.00,18.55,-,0.40
Pulses,Bengal Gram(Gram)(Whole),5875.00,5189.00,-,-,93.60,-,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7000.00,-,-,0.50,-,-
Pulses,Green Gram(Moong)(Whole),8768.00,6600.00,-,-,469.00,-,-
Vegetables,Onion,-,1188.88,1000.00,1027.46,148.80,119.90,190.90
Vegetables,Potato,-,1093.60,1019.61,784.54,2517.60,234.60,296.20
Vegetables,Tomato,-,798.61,703.73,696.10,252.30,214.70,181.90

