,,,,Marketwise Price & Arrival Report (09-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 09 Feb, 2026","Price on 08 Feb, 2026","Price on 07 Feb, 2026","Arrival on 09 Feb, 2026","Arrival on 08 Feb, 2026","Arrival on 07 Feb, 2026"
Cereals,Maize,2400.00,2350.00,2300.00,2300.00,22.50,83.00,38.00
Cereals,Paddy(Common),2369.00,2380.72,2384.31,2406.85,101.10,149.10,30.50
Fibre Crops,Cotton,7710.00,7873.02,-,7419.05,871.29,-,80.16
Oil Seeds,Groundnut,7263.00,-,-,9801.00,-,-,485.00
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,-,9408.00,-,-,0.29
Oil Seeds,Soyabean,5328.00,5519.00,-,5800.00,23.10,-,15.11
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7600.00,-,-,0.20,-,-
Pulses,Green Gram(Moong)(Whole),8768.00,5100.00,-,-,10.70,-,-
Vegetables,Onion,-,1116.50,1192.82,1200.00,99.10,97.50,161.70
Vegetables,Potato,-,842.28,1089.55,977.95,136.70,467.90,292.80
Vegetables,Tomato,-,795.41,696.25,697.73,214.80,222.90,171.60

