,,,,Marketwise Price & Arrival Report (11-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 11 Feb, 2026","Price on 10 Feb, 2026","Price on 09 Feb, 2026","Arrival on 11 Feb, 2026","Arrival on 10 Feb, 2026","Arrival on 09 Feb, 2026"
Cereals,Maize,2400.00,2300.00,2332.97,2350.00,29.60,36.40,22.50
Cereals,Paddy(Common),2369.00,2389.53,2366.79,2380.72,74.10,143.50,101.10
Fibre Crops,Cotton,7710.00,7823.46,7814.78,7873.02,504.34,698.64,871.29
Oil Seeds,Soyabean,5328.00,-,5299.00,5519.00,-,12.60,23.10
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,-,7734.87,7600.00,-,3.80,0.20
Pulses,Green Gram(Moong)(Whole),8768.00,-,-,5100.00,-,-,10.70
Vegetables,Onion,-,1200.00,1166.58,1116.50,76.20,143.30,99.10
Vegetables,Potato,-,874.98,950.64,842.28,306.20,484.80,136.70
Vegetables,Tomato,-,702.06,622.19,795.41,243.20,247.00,214.80

