,,,,Marketwise Price & Arrival Report (02-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 02 Feb, 2026","Price on 01 Feb, 2026","Price on 31 Jan, 2026","Arrival on 02 Feb, 2026","Arrival on 01 Feb, 2026","Arrival on 31 Jan, 2026"
Cereals,Maize,2400.00,2350.00,-,2400.00,40.20,-,40.00
Cereals,Paddy(Common),2369.00,2383.47,2369.01,2369.01,151.41,420.10,317.19
Fibre Crops,Cotton,7710.00,7859.27,7783.62,7605.49,744.49,23.50,93.22
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,-,9456.00,-,-,1.19
Oil Seeds,Soyabean,5328.00,5689.00,-,5689.00,19.76,-,14.77
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,8523.00,-,-,9.10,-,-
Vegetables,Onion,-,1192.55,1200.00,1400.00,290.40,38.50,108.60
Vegetables,Potato,-,1205.09,1295.65,1204.46,302.70,18.40,221.90
Vegetables,Tomato,-,800.82,919.05,800.74,282.20,21.00,268.60

