,,,,Marketwise Price & Arrival Report (25-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 25 Mar, 2026","Price on 24 Mar, 2026","Price on 23 Mar, 2026","Arrival on 25 Mar, 2026","Arrival on 24 Mar, 2026","Arrival on 23 Mar, 2026"
Cereals,Maize,2400.00,2052.87,2124.77,2016.90,646.10,679.50,4795.66
Cereals,Paddy(Common),2369.00,2376.72,2374.48,2373.87,1946.00,2129.31,1612.80
Fibre Crops,Cotton,7710.00,6661.31,6546.43,7038.65,191.07,321.50,212.40
Oil Seeds,Groundnut,7263.00,-,7023.00,6729.00,-,1.20,2.25
Oil Seeds,Soyabean,5328.00,5481.00,5491.00,5489.00,4.29,5.53,5.03
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7410.89,7521.37,7425.89,29.95,36.09,41.84
Pulses,Bengal Gram(Gram)(Whole),5875.00,5189.00,5219.00,5219.00,53.29,62.74,65.71
Pulses,Green Gram(Moong)(Whole),8768.00,6600.00,6650.00,6600.00,34.50,48.40,50.00
Vegetables,Onion,-,1094.21,1100.00,1033.58,234.20,98.50,81.30
Vegetables,Potato,-,1064.96,1103.45,1191.50,404.10,451.90,405.50
Vegetables,Tomato,-,563.76,556.89,696.85,217.60,217.70,239.60

