,,,,Marketwise Price & Arrival Report (15-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 15 Mar, 2026","Price on 14 Mar, 2026","Price on 13 Mar, 2026","Arrival on 15 Mar, 2026","Arrival on 14 Mar, 2026","Arrival on 13 Mar, 2026"
Cereals,Maize,2400.00,2300.00,2276.02,2126.23,123.90,277.30,269.69
Cereals,Paddy(Common),2369.00,2373.71,2369.01,2388.61,198.10,178.10,0.10
Fibre Crops,Cotton,7710.00,6264.00,6192.00,6474.38,107.61,84.32,152.33
Oil Seeds,Soyabean,5328.00,-,-,5459.00,-,-,6.12
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,-,7443.00,7496.47,-,0.40,16.74
Pulses,Bengal Gram(Gram)(Whole),5875.00,-,-,5185.91,-,-,205.18
Vegetables,Onion,-,1000.00,1027.46,1117.21,119.90,190.90,91.80
Vegetables,Potato,-,1019.61,784.54,761.71,234.60,296.20,517.90
Vegetables,Tomato,-,703.73,696.10,559.48,214.70,181.90,202.60

