,,,,Marketwise Price & Arrival Report (28-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 28 Jan, 2026","Price on 27 Jan, 2026","Price on 26 Jan, 2026","Arrival on 28 Jan, 2026","Arrival on 27 Jan, 2026","Arrival on 26 Jan, 2026"
Cereals,Maize,2400.00,2400.00,2319.64,-,35.00,55.40,-
Cereals,Paddy(Common),2369.00,2472.54,2401.41,2391.69,116.20,167.70,112.10
Fibre Crops,Cotton,7710.00,7920.93,7892.13,7844.54,904.32,1192.46,67.70
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,10501.00,-,-,0.15,-
Oil Seeds,Soyabean,5328.00,5699.00,5304.00,-,13.09,8.99,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,8302.00,7369.77,-,22.30,6.06,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,-,7889.00,-,-,1.32,-
Pulses,Green Gram(Moong)(Whole),8768.00,-,8063.00,-,-,0.12,-
Vegetables,Onion,-,1179.99,1192.95,1200.00,212.20,101.50,103.90
Vegetables,Potato,-,998.82,1104.74,1029.36,384.70,368.90,241.00
Vegetables,Tomato,-,1368.78,813.21,1013.82,199.90,268.00,230.10

