state,commodity_group,commodity,predicted_date,predicted_price,confidence_score,model_used
Nagaland,Vegetables,Potato,2026-01-24,2036.43,0.4,BOOTSTRAP
Nagaland,Vegetables,Potato,2026-01-25,2002.41,0.4,BOOTSTRAP
Nagaland,Vegetables,Potato,2026-01-26,1980.73,0.4,BOOTSTRAP
