,,,,Marketwise Price & Arrival Report (22-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 22 Jan, 2026","Price on 21 Jan, 2026","Price on 20 Jan, 2026","Arrival on 22 Jan, 2026","Arrival on 21 Jan, 2026","Arrival on 20 Jan, 2026"
Cereals,Maize,2400.00,-,2300.00,2300.00,-,32.00,27.25
Cereals,Paddy(Common),2369.00,2375.67,2307.34,2303.83,270.10,631.05,631.85
Cereals,Wheat,2425.00,2618.32,2592.28,2594.48,20.20,49.20,42.10
Oil Seeds,Groundnut,7263.00,-,-,8700.00,-,-,0.20
Oil Seeds,Mustard,5950.00,6743.19,6620.17,6707.98,38.55,39.05,53.55
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6700.00,6749.32,6750.79,1.75,3.65,3.15
Vegetables,Onion,-,2145.75,2159.70,2090.12,602.85,1543.14,865.51
Vegetables,Potato,-,1043.01,1090.14,1087.50,1068.90,1358.00,1469.55
Vegetables,Tomato,-,3110.75,3512.93,3514.69,136.75,243.21,214.79

