,,,,Marketwise Price & Arrival Report (17-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Jan, 2026","Price on 16 Jan, 2026","Price on 15 Jan, 2026","Arrival on 17 Jan, 2026","Arrival on 16 Jan, 2026","Arrival on 15 Jan, 2026"
Cereals,Maize,2400.00,-,2275.00,2275.00,-,32.45,27.35
Cereals,Paddy(Common),2369.00,2377.49,2284.09,2295.35,260.10,492.05,524.05
Cereals,Wheat,2425.00,2582.69,2578.95,2593.91,54.60,55.10,60.40
Oil Seeds,Groundnut,7263.00,-,9800.00,9000.00,-,0.30,0.20
Oil Seeds,Mustard,5950.00,6788.79,6747.16,7004.17,54.20,50.15,90.60
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6746.88,6747.76,6800.00,3.20,3.35,1.80
Vegetables,Onion,-,2104.47,2049.46,2075.45,589.86,801.33,771.26
Vegetables,Potato,-,1045.60,1079.90,1097.65,1248.80,1502.35,1513.45
Vegetables,Tomato,-,3744.74,3825.41,3859.96,212.21,216.54,212.19

