,,,,Marketwise Price & Arrival Report (30-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 30 Jan, 2026","Price on 29 Jan, 2026","Price on 28 Jan, 2026","Arrival on 30 Jan, 2026","Arrival on 29 Jan, 2026","Arrival on 28 Jan, 2026"
Cereals,Maize,2400.00,2235.00,2275.00,2250.00,34.25,34.50,32.25
Cereals,Paddy(Common),2369.00,2316.63,2294.88,2305.85,672.75,549.85,628.45
Cereals,Wheat,2425.00,2583.40,2712.69,2581.06,53.30,77.20,79.20
Oil Seeds,Groundnut,7263.00,9600.00,9600.00,9500.00,0.30,0.20,0.20
Oil Seeds,Mustard,5950.00,6967.05,6745.73,6715.97,80.95,63.20,61.20
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6746.58,6749.23,6801.41,3.65,3.25,3.55
Pulses,Lentil(Masur)(Whole),6700.00,10000.00,-,-,35.00,-,-
Vegetables,Onion,-,2049.61,2006.64,2062.74,702.06,714.87,869.31
Vegetables,Potato,-,1040.05,1015.03,1037.53,1331.45,1315.45,1578.05
Vegetables,Tomato,-,2359.09,2392.63,2854.59,246.59,163.87,239.91

