,,,,Marketwise Price & Arrival Report (13-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 13 Feb, 2026","Price on 12 Feb, 2026","Price on 11 Feb, 2026","Arrival on 13 Feb, 2026","Arrival on 12 Feb, 2026","Arrival on 11 Feb, 2026"
Cereals,Maize,2400.00,2245.00,2275.00,2265.00,24.25,27.25,31.25
Cereals,Paddy(Common),2369.00,2300.82,2311.10,2325.83,460.05,558.25,651.15
Cereals,Wheat,2425.00,2612.31,2605.98,2580.24,40.20,49.30,70.10
Oil Seeds,Groundnut,7263.00,-,9800.00,-,-,0.20,-
Oil Seeds,Mustard,5950.00,6711.71,6678.30,6716.39,64.70,61.30,51.55
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6752.17,6746.88,6701.53,3.45,3.20,176.80
Vegetables,Onion,-,1908.36,1911.54,1954.72,580.45,822.03,788.75
Vegetables,Potato,-,909.11,911.43,937.05,1430.05,1515.60,1618.70
Vegetables,Tomato,-,1779.28,1887.04,2026.68,155.54,180.98,231.78

