,,,,Marketwise Price & Arrival Report (04-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 04 Feb, 2026","Price on 03 Feb, 2026","Price on 02 Feb, 2026","Arrival on 04 Feb, 2026","Arrival on 03 Feb, 2026","Arrival on 02 Feb, 2026"
Cereals,Maize,2400.00,2275.00,2275.00,2275.00,33.50,32.75,34.25
Cereals,Paddy(Common),2369.00,2300.65,2322.62,2299.36,404.35,628.75,568.85
Cereals,Wheat,2425.00,2623.51,2590.02,2609.25,30.20,63.20,50.30
Oil Seeds,Groundnut,7263.00,-,-,9500.00,-,-,0.20
Oil Seeds,Mustard,5950.00,6726.69,6730.19,6579.21,36.25,52.25,43.90
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6744.12,6750.79,6750.70,3.40,3.15,3.55
Vegetables,Onion,-,1977.89,1961.50,2004.12,688.90,833.98,766.89
Vegetables,Potato,-,1009.64,1013.56,1032.39,1137.10,1443.59,1445.80
Vegetables,Tomato,-,1880.32,2134.59,2202.62,169.98,262.24,239.72

