,,,,Marketwise Price & Arrival Report (31-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 31 Jan, 2026","Price on 30 Jan, 2026","Price on 29 Jan, 2026","Arrival on 31 Jan, 2026","Arrival on 30 Jan, 2026","Arrival on 29 Jan, 2026"
Cereals,Maize,2400.00,-,2235.00,2275.00,-,34.25,34.50
Cereals,Paddy(Common),2369.00,2381.94,2316.63,2294.88,174.70,672.75,549.85
Cereals,Wheat,2425.00,2694.72,2583.40,2712.69,12.30,53.30,77.20
Oil Seeds,Groundnut,7263.00,-,9600.00,9600.00,-,0.30,0.20
Oil Seeds,Mustard,5950.00,6361.80,6967.05,6745.73,18.65,80.95,63.20
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6750.00,6746.58,6749.23,3.60,3.65,3.25
Pulses,Lentil(Masur)(Whole),6700.00,-,10000.00,-,-,35.00,-
Vegetables,Onion,-,2066.72,2049.61,2006.64,439.00,702.06,714.87
Vegetables,Potato,-,1019.64,1040.05,1015.03,851.05,1331.45,1315.45
Vegetables,Tomato,-,2179.63,2359.09,2392.63,127.30,246.59,163.87

