,,,,Marketwise Price & Arrival Report (21-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 21 Feb, 2026","Price on 20 Feb, 2026","Price on 19 Feb, 2026","Arrival on 21 Feb, 2026","Arrival on 20 Feb, 2026","Arrival on 19 Feb, 2026"
Cereals,Maize,2400.00,-,2275.00,2265.00,-,21.25,21.25
Cereals,Paddy(Common),2369.00,2389.16,2326.70,2325.08,140.20,537.25,535.25
Cereals,Wheat,2425.00,2723.45,2615.75,2675.83,11.30,36.20,81.30
Oil Seeds,Groundnut,7263.00,-,-,9900.00,-,-,0.20
Oil Seeds,Mustard,5950.00,6369.59,6724.43,6695.61,14.55,60.90,60.35
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6700.00,6700.00,6700.00,1.75,3.35,3.10
Vegetables,Onion,-,1800.58,1872.67,1864.57,503.70,734.79,860.96
Vegetables,Potato,-,865.24,872.70,882.20,872.95,1395.46,1599.95
Vegetables,Tomato,-,1703.44,1926.51,1929.50,141.05,232.17,250.78

