,,,,Marketwise Price & Arrival Report (21-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 21 Jan, 2026","Price on 20 Jan, 2026","Price on 19 Jan, 2026","Arrival on 21 Jan, 2026","Arrival on 20 Jan, 2026","Arrival on 19 Jan, 2026"
Cereals,Maize,2400.00,2300.00,2300.00,2300.00,32.00,27.25,27.25
Cereals,Paddy(Common),2369.00,2307.34,2303.83,2295.34,631.05,631.85,557.25
Cereals,Wheat,2425.00,2592.28,2594.48,2588.95,49.20,42.10,60.20
Oil Seeds,Groundnut,7263.00,-,8700.00,-,-,0.20,-
Oil Seeds,Mustard,5950.00,6620.17,6707.98,6702.55,39.05,53.55,54.00
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6749.32,6750.79,6749.18,3.65,3.15,3.05
Vegetables,Onion,-,2159.70,2090.12,2060.68,1543.14,865.51,860.12
Vegetables,Potato,-,1090.14,1087.50,1081.81,1358.00,1469.55,1516.85
Vegetables,Tomato,-,3512.93,3514.69,3574.00,243.21,214.79,233.23

