,,,,Marketwise Price & Arrival Report (29-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 29 Jan, 2026","Price on 28 Jan, 2026","Price on 27 Jan, 2026","Arrival on 29 Jan, 2026","Arrival on 28 Jan, 2026","Arrival on 27 Jan, 2026"
Cereals,Maize,2400.00,2275.00,2250.00,2285.00,34.50,32.25,34.25
Cereals,Paddy(Common),2369.00,2294.88,2305.85,2298.26,549.85,628.45,553.75
Cereals,Wheat,2425.00,2712.69,2581.06,2597.39,77.20,79.20,50.20
Oil Seeds,Groundnut,7263.00,9600.00,9500.00,-,0.20,0.20,-
Oil Seeds,Mustard,5950.00,6745.73,6715.97,6719.54,63.20,61.20,62.30
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6749.23,6801.41,6801.41,3.25,3.55,3.55
Vegetables,Onion,-,2006.64,2062.74,2086.62,714.87,869.31,909.38
Vegetables,Potato,-,1015.03,1037.53,1046.87,1315.45,1578.05,1620.85
Vegetables,Tomato,-,2392.63,2854.59,3063.13,163.87,239.91,231.33

