,,,,Marketwise Price & Arrival Report (26-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 26 Jan, 2026","Price on 25 Jan, 2026","Price on 24 Jan, 2026","Arrival on 26 Jan, 2026","Arrival on 25 Jan, 2026","Arrival on 24 Jan, 2026"
Cereals,Maize,2400.00,2275.00,2250.00,-,34.25,32.25,-
Cereals,Paddy(Common),2369.00,2249.57,2242.38,2370.03,300.55,280.75,83.20
Cereals,Wheat,2425.00,2657.75,2643.87,2636.22,14.20,21.30,31.20
Oil Seeds,Groundnut,7263.00,-,9600.00,-,-,0.30,-
Oil Seeds,Mustard,5950.00,6566.47,6707.13,6740.35,34.45,44.50,60.85
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6700.00,6757.53,6749.18,3.35,3.65,3.05
Vegetables,Onion,-,2024.84,2041.30,2114.86,583.85,672.80,742.65
Vegetables,Potato,-,1071.36,1060.93,1053.78,1296.60,1127.55,1009.70
Vegetables,Tomato,-,2813.44,3184.46,2998.41,149.54,181.22,131.17

