,,,,Marketwise Price & Arrival Report (27-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 27 Jan, 2026","Price on 26 Jan, 2026","Price on 25 Jan, 2026","Arrival on 27 Jan, 2026","Arrival on 26 Jan, 2026","Arrival on 25 Jan, 2026"
Cereals,Maize,2400.00,2285.00,2275.00,2250.00,34.25,34.25,32.25
Cereals,Paddy(Common),2369.00,2298.26,2249.57,2242.38,553.75,300.55,280.75
Cereals,Wheat,2425.00,2597.39,2657.75,2643.87,50.20,14.20,21.30
Oil Seeds,Groundnut,7263.00,-,-,9600.00,-,-,0.30
Oil Seeds,Mustard,5950.00,6719.54,6566.47,6707.13,62.30,34.45,44.50
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6801.41,6700.00,6757.53,3.55,3.35,3.65
Vegetables,Onion,-,2086.62,2024.84,2041.30,909.38,583.85,672.80
Vegetables,Potato,-,1046.87,1071.36,1060.93,1620.85,1296.60,1127.55
Vegetables,Tomato,-,3063.13,2813.44,3184.46,231.33,149.54,181.22

