,,,,Marketwise Price & Arrival Report (03-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 03 Feb, 2026","Price on 02 Feb, 2026","Price on 01 Feb, 2026","Arrival on 03 Feb, 2026","Arrival on 02 Feb, 2026","Arrival on 01 Feb, 2026"
Cereals,Maize,2400.00,2275.00,2275.00,2175.00,32.75,34.25,34.25
Cereals,Paddy(Common),2369.00,2322.62,2299.36,2242.47,628.75,568.85,280.05
Cereals,Wheat,2425.00,2590.02,2609.25,2709.48,63.20,50.30,14.30
Oil Seeds,Groundnut,7263.00,-,9500.00,-,-,0.20,-
Oil Seeds,Mustard,5950.00,6730.19,6579.21,6644.10,52.25,43.90,27.55
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6750.79,6750.70,6700.00,3.15,3.55,1.75
Vegetables,Onion,-,1961.50,2004.12,1998.62,833.98,766.89,555.40
Vegetables,Potato,-,1013.56,1032.39,997.22,1443.59,1445.80,1044.49
Vegetables,Tomato,-,2134.59,2202.62,2113.38,262.24,239.72,151.49

