state,commodity_group,commodity,predicted_date,predicted_price,confidence_score,model_used
Jammu and Kashmir,Vegetables,Onion,2026-01-27,2491.54,0.65,MA
Jammu and Kashmir,Vegetables,Onion,2026-01-28,2431.81,0.65,MA
Jammu and Kashmir,Vegetables,Onion,2026-01-29,2425.51,0.65,MA
Jammu and Kashmir,Vegetables,Potato,2026-01-27,1150.81,0.65,MA
Jammu and Kashmir,Vegetables,Potato,2026-01-28,1167.5,0.65,MA
Jammu and Kashmir,Vegetables,Potato,2026-01-29,1166.34,0.65,MA
Jammu and Kashmir,Vegetables,Tomato,2026-01-27,3364.61,0.65,MA
Jammu and Kashmir,Vegetables,Tomato,2026-01-28,3409.88,0.65,MA
Jammu and Kashmir,Vegetables,Tomato,2026-01-29,3381.82,0.65,MA
