,,,,Marketwise Price & Arrival Report (16-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 16 Mar, 2026","Price on 15 Mar, 2026","Price on 14 Mar, 2026","Arrival on 16 Mar, 2026","Arrival on 15 Mar, 2026","Arrival on 14 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,3887.75,3000.38,3924.81,71.80,1.60,52.40
Cereals,Jowar(Sorghum),3699.00,4848.15,-,5558.15,300.70,-,83.20
Cereals,Maize,2400.00,2404.41,-,2600.00,10.20,-,0.20
Cereals,Paddy(Common),2369.00,2754.14,2668.08,2763.14,375.20,82.70,122.70
Cereals,Ragi(Finger Millet),4886.00,5400.00,-,5500.00,0.20,-,0.40
Cereals,Wheat,2585.00,3623.92,2600.00,3133.72,1933.00,4.80,400.00
Fibre Crops,Cotton,7710.00,7837.13,-,7804.19,123.90,-,359.00
Oil Seeds,Mustard,6200.00,7901.45,-,6346.50,6.90,-,1.40
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,13000.00,-,-,0.30,-,-
Oil Seeds,Soyabean,5328.00,5353.87,5434.00,5397.57,1238.40,7.00,603.20
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,8099.41,-,8181.51,552.80,-,232.40
Pulses,Bengal Gram(Gram)(Whole),5875.00,7396.13,-,7239.53,271.10,-,49.10
Pulses,Black Gram(Urd Beans)(Whole),7800.00,9301.72,-,9600.00,14.50,-,0.60
Pulses,Green Gram(Moong)(Whole),8768.00,10447.56,-,9500.00,143.60,-,4.00
Pulses,Lentil(Masur)(Whole),7000.00,8804.24,-,7200.00,27.10,-,3.70

