,,,,Marketwise Price & Arrival Report (17-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Jan, 2026","Price on 16 Jan, 2026","Price on 15 Jan, 2026","Arrival on 17 Jan, 2026","Arrival on 16 Jan, 2026","Arrival on 15 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,3501.35,3798.17,2868.49,71.40,107.60,7.30
Cereals,Jowar(Sorghum),3699.00,5450.25,-,4133.85,87.50,-,2.60
Cereals,Maize,2400.00,2750.00,3250.00,2400.00,0.50,34.60,10.50
Cereals,Paddy(Common),2369.00,2671.74,2865.53,2609.18,411.00,213.90,406.10
Cereals,Ragi(Finger Millet),4886.00,5450.00,-,-,0.40,-,-
Cereals,Wheat,2425.00,3419.34,3771.85,2663.60,229.60,1163.70,100.00
Fibre Crops,Cotton,7710.00,8165.20,8107.47,8039.61,181.60,315.20,490.70
Oil Seeds,Mustard,5950.00,-,8000.00,-,-,2.00,-
Oil Seeds,Safflower,5940.00,7500.00,8327.45,-,0.20,2.20,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,10600.00,15464.84,-,0.10,12.80,-
Oil Seeds,Soyabean,5328.00,5763.16,5589.95,5647.09,28.50,182.00,81.90
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,8000.00,8149.57,-,16.40,4.70,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,6687.88,7111.22,-,6.60,63.20,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8850.00,8721.98,-,0.40,27.30,-
Pulses,Green Gram(Moong)(Whole),8768.00,9827.27,10500.00,-,16.50,48.70,-
Pulses,Lentil(Masur)(Whole),6700.00,7050.00,9050.00,-,15.80,34.20,-

