,,,,Marketwise Price & Arrival Report (23-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 23 Mar, 2026","Price on 22 Mar, 2026","Price on 21 Mar, 2026","Arrival on 23 Mar, 2026","Arrival on 22 Mar, 2026","Arrival on 21 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,3620.51,3100.00,3871.15,56.80,0.30,94.10
Cereals,Jowar(Sorghum),3699.00,5180.28,-,5526.70,103.60,-,88.40
Cereals,Maize,2400.00,2406.74,-,3246.41,8.90,-,36.20
Cereals,Paddy(Common),2369.00,2766.15,2791.77,2400.00,584.00,68.40,15.80
Cereals,Ragi(Finger Millet),4886.00,5050.00,-,5200.00,0.20,-,0.40
Cereals,Wheat,2585.00,2801.25,3000.00,4053.91,980.40,0.30,509.60
Fibre Crops,Cotton,7710.00,7829.69,-,7900.00,577.70,-,37.60
Oil Seeds,Mustard,6200.00,6315.45,-,-,5.50,-,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,16000.00,13000.00,-,0.30,0.30,-
Oil Seeds,Soyabean,5328.00,5424.57,5448.00,5399.01,2138.90,4.90,7.60
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,8112.92,-,9714.57,215.40,-,119.40
Pulses,Bengal Gram(Gram)(Whole),5875.00,6250.62,7530.00,6400.00,310.10,30.30,4.20
Pulses,Black Gram(Urd Beans)(Whole),7800.00,10071.43,11000.00,9310.00,0.70,0.30,2.00
Pulses,Green Gram(Moong)(Whole),8768.00,9230.77,9500.00,10386.23,3.90,0.30,37.40
Pulses,Lentil(Masur)(Whole),7000.00,7100.00,-,8591.76,4.30,-,17.00

