,,,,Marketwise Price & Arrival Report (26-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 26 Jan, 2026","Price on 25 Jan, 2026","Price on 24 Jan, 2026","Arrival on 26 Jan, 2026","Arrival on 25 Jan, 2026","Arrival on 24 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,3113.75,-,3562.27,0.40,-,64.80
Cereals,Jowar(Sorghum),3699.00,3900.00,-,5260.77,0.60,-,88.40
Cereals,Maize,2400.00,-,-,2600.00,-,-,0.20
Cereals,Paddy(Common),2369.00,2700.00,2693.33,2682.27,66.40,43.10,328.50
Cereals,Ragi(Finger Millet),4886.00,-,-,5300.00,-,-,0.40
Cereals,Wheat,2425.00,2650.00,2600.00,3110.23,2.70,7.50,412.20
Fibre Crops,Cotton,7710.00,7900.00,-,8040.70,165.40,-,889.20
Oil Seeds,Safflower,5940.00,-,-,8443.00,-,-,1.40
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,14000.00,-,-,0.30,-,-
Oil Seeds,Soyabean,5328.00,5500.00,5376.71,5546.60,2.00,30.70,497.80
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,-,8170.00,8261.21,-,2.70,160.30
Pulses,Bengal Gram(Gram)(Whole),5650.00,7000.00,-,6954.39,0.30,-,4.60
Pulses,Black Gram(Urd Beans)(Whole),7800.00,10500.00,-,8196.27,0.30,-,4.50
Pulses,Green Gram(Moong)(Whole),8768.00,10500.00,-,9300.00,0.30,-,4.00
Pulses,Lentil(Masur)(Whole),6700.00,-,-,6900.00,-,-,3.90

