,,,,Marketwise Price & Arrival Report (23-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 23 Feb, 2026","Price on 22 Feb, 2026","Price on 21 Feb, 2026","Arrival on 23 Feb, 2026","Arrival on 22 Feb, 2026","Arrival on 21 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,3500.24,-,3677.61,93.10,-,54.50
Cereals,Jowar(Sorghum),3699.00,5121.95,-,5567.02,171.70,-,102.40
Cereals,Maize,2400.00,3218.63,-,2800.00,9.50,-,0.20
Cereals,Paddy(Common),2369.00,2773.91,2750.10,2672.97,619.30,118.80,242.80
Cereals,Ragi(Finger Millet),4886.00,5300.00,-,5200.00,0.30,-,0.40
Cereals,Wheat,2425.00,3397.10,2955.50,3122.81,1490.60,65.50,445.80
Fibre Crops,Cotton,7710.00,7935.87,-,7778.37,2833.40,-,76.30
Oil Seeds,Groundnut,7263.00,-,-,7375.00,-,-,0.30
Oil Seeds,Mustard,5950.00,6562.50,-,6500.00,0.80,-,0.20
Oil Seeds,Safflower,5940.00,6100.00,-,6125.00,1.80,-,0.40
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,14562.50,13000.00,-,0.80,0.30,-
Oil Seeds,Soyabean,5328.00,6270.05,-,5352.91,67.20,-,38.10
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,8093.73,8103.61,8185.97,2609.50,5.40,1714.70
Pulses,Bengal Gram(Gram)(Whole),5650.00,6010.94,6500.00,6921.53,242.60,0.30,27.80
Pulses,Black Gram(Urd Beans)(Whole),7800.00,9298.46,10500.00,9050.00,6.50,0.30,0.40
Pulses,Green Gram(Moong)(Whole),8768.00,10413.23,10500.00,9100.00,59.70,0.30,3.50
Pulses,Lentil(Masur)(Whole),6700.00,8834.53,-,7050.00,36.20,-,3.90

