state,commodity_group,commodity,price_date,price,source_date,price_type
Punjab,Cereals,Wheat,2026-03-24,2571.0,2026-03-28,Actual
Punjab,Oil Seeds,Mustard,2026-03-26,6646.0,2026-03-28,Actual
Punjab,Oil Seeds,Mustard,2026-03-25,6679.0,2026-03-28,Actual
Punjab,Vegetables,Onion,2026-03-26,1180.86,2026-03-28,Actual
Punjab,Vegetables,Onion,2026-03-25,1161.2,2026-03-28,Actual
Punjab,Vegetables,Onion,2026-03-24,1076.44,2026-03-28,Actual
Punjab,Vegetables,Potato,2026-03-26,255.16,2026-03-28,Actual
Punjab,Vegetables,Potato,2026-03-25,243.92,2026-03-28,Actual
Punjab,Vegetables,Potato,2026-03-24,302.87,2026-03-28,Actual
Punjab,Vegetables,Tomato,2026-03-26,1103.2,2026-03-28,Actual
Punjab,Vegetables,Tomato,2026-03-25,1097.76,2026-03-28,Actual
Punjab,Vegetables,Tomato,2026-03-24,1025.04,2026-03-28,Actual
