,,,,Marketwise Price & Arrival Report (16-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 16 Mar, 2026","Price on 15 Mar, 2026","Price on 14 Mar, 2026","Arrival on 16 Mar, 2026","Arrival on 15 Mar, 2026","Arrival on 14 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2388.67,-,2383.85,152.48,-,129.87
Cereals,Barley(Jau),2150.00,2225.00,-,2113.41,0.30,-,1.03
Cereals,Jowar(Sorghum),3699.00,4530.76,-,4751.37,163.00,-,43.71
Cereals,Maize,2400.00,2372.37,-,1500.00,1.90,-,0.40
Cereals,Paddy(Common),2369.00,2352.30,-,2338.84,22.60,-,30.60
Cereals,Wheat,2585.00,2498.12,-,2445.20,11310.78,-,6904.56
Fibre Crops,Cotton,7710.00,7482.09,-,7424.21,1331.65,-,1072.52
Oil Seeds,Groundnut,7263.00,7103.55,-,6992.51,337.89,-,204.59
Oil Seeds,Mustard,6200.00,6121.45,-,6103.84,2678.45,-,3265.43
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,8884.56,-,9594.14,47.60,-,24.44
Oil Seeds,Soyabean,5328.00,5051.89,-,5124.82,66.10,-,62.24
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7136.87,-,7166.24,814.10,-,1027.10
Pulses,Bengal Gram(Gram)(Whole),5875.00,5405.56,-,5288.85,2410.24,-,1521.04
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7535.44,-,7592.65,15.80,-,28.06
Pulses,Green Gram(Moong)(Whole),8768.00,7745.22,-,5605.00,29.30,-,4.00
Vegetables,Onion,-,967.23,1608.22,1071.63,15269.36,14.60,2007.12
Vegetables,Potato,-,827.60,1368.37,733.31,2413.39,21.18,2272.64
Vegetables,Tomato,-,1011.22,1117.62,1111.71,897.29,20.88,606.70

