,,,,Marketwise Price & Arrival Report (23-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 23 Mar, 2026","Price on 22 Mar, 2026","Price on 21 Mar, 2026","Arrival on 23 Mar, 2026","Arrival on 22 Mar, 2026","Arrival on 21 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2424.86,-,2423.91,223.61,-,66.00
Cereals,Barley(Jau),2150.00,2106.76,-,-,1.11,-,-
Cereals,Jowar(Sorghum),3699.00,4231.94,-,4149.71,146.19,-,4.33
Cereals,Maize,2400.00,1755.00,-,-,0.40,-,-
Cereals,Paddy(Common),2369.00,2178.57,-,2279.55,1.40,-,1.10
Cereals,Wheat,2585.00,2454.99,-,2481.39,6743.01,-,1191.60
Fibre Crops,Cotton,7710.00,7720.52,-,7658.20,1379.68,-,602.36
Oil Seeds,Groundnut,7263.00,7174.96,-,7444.96,458.05,-,96.28
Oil Seeds,Mustard,6200.00,6321.87,-,6429.42,2557.12,-,1163.16
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9167.40,-,9711.97,23.49,-,53.45
Oil Seeds,Soyabean,5328.00,5093.37,-,4700.00,88.70,-,3.60
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7158.94,-,6790.04,965.52,-,22.35
Pulses,Bengal Gram(Gram)(Whole),5875.00,5140.86,-,5230.82,1678.15,-,665.40
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7015.17,-,7235.33,24.69,-,8.10
Pulses,Green Gram(Moong)(Whole),8768.00,7212.67,-,7500.00,12.10,-,9.00
Vegetables,Onion,-,1063.69,1410.92,762.99,14046.85,46.25,188.20
Vegetables,Potato,-,824.54,1197.59,822.78,1782.24,53.08,495.87
Vegetables,Tomato,-,960.17,996.23,790.18,954.73,23.36,126.49

