,,,,Marketwise Price & Arrival Report (28-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 28 Jan, 2026","Price on 27 Jan, 2026","Price on 26 Jan, 2026","Arrival on 28 Jan, 2026","Arrival on 27 Jan, 2026","Arrival on 26 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2650.79,2702.18,-,157.22,257.45,-
Cereals,Jowar(Sorghum),3699.00,5122.15,4719.91,-,52.29,55.46,-
Cereals,Maize,2400.00,1708.85,1815.56,-,0.65,1.80,-
Cereals,Paddy(Common),2369.00,2274.44,2336.45,-,12.70,146.44,-
Cereals,Wheat,2425.00,2638.42,2605.36,-,526.09,640.21,-
Fibre Crops,Cotton,7710.00,7774.16,7672.07,-,4483.98,3609.78,-
Oil Seeds,Groundnut,7263.00,7222.11,7401.11,-,2779.59,2417.06,-
Oil Seeds,Mustard,5950.00,6175.02,6045.65,-,447.41,516.45,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,10529.97,9254.55,-,128.27,85.87,-
Oil Seeds,Soyabean,5328.00,5402.70,5301.05,4000.00,483.93,415.92,2.00
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7710.79,7265.90,-,1145.68,957.78,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,5852.54,6473.86,-,212.81,124.62,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6985.58,6661.36,-,77.93,87.69,-
Pulses,Green Gram(Moong)(Whole),8768.00,6832.84,7073.52,-,41.35,72.75,-
Vegetables,Onion,-,1170.99,1178.29,1258.56,6403.26,7671.05,537.10
Vegetables,Potato,-,906.70,905.35,950.20,1990.75,2151.81,1568.80
Vegetables,Tomato,-,1586.43,1715.33,1671.27,911.21,944.35,580.09

