,,,,Marketwise Price & Arrival Report (09-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 09 Feb, 2026","Price on 08 Feb, 2026","Price on 07 Feb, 2026","Arrival on 09 Feb, 2026","Arrival on 08 Feb, 2026","Arrival on 07 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2571.66,-,2600.27,325.09,-,110.95
Cereals,Jowar(Sorghum),3699.00,5043.11,-,4869.50,61.01,-,48.80
Cereals,Maize,2400.00,1555.00,-,1775.00,0.30,-,5.50
Cereals,Paddy(Common),2369.00,2328.95,-,2367.04,88.84,-,66.70
Cereals,Wheat,2425.00,2473.94,-,2525.28,1304.20,-,492.33
Fibre Crops,Cotton,7710.00,7732.74,-,7705.78,2377.96,-,2974.10
Oil Seeds,Groundnut,7263.00,7062.42,-,7123.76,810.86,-,221.67
Oil Seeds,Mustard,5950.00,6456.72,-,6160.45,3671.39,-,955.15
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9121.04,-,9342.85,118.66,-,94.58
Oil Seeds,Soyabean,5328.00,5348.79,-,5289.89,201.60,-,147.40
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7420.55,-,7481.83,1093.89,-,629.65
Pulses,Bengal Gram(Gram)(Whole),5650.00,5464.77,-,5588.62,323.06,-,86.60
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7266.16,-,7803.32,55.83,-,56.88
Pulses,Green Gram(Moong)(Whole),8768.00,6854.31,-,6451.46,18.50,-,23.05
Vegetables,Onion,-,1131.86,1270.46,981.83,9961.86,452.96,1350.50
Vegetables,Potato,-,800.52,821.02,782.21,2032.34,969.07,1673.22
Vegetables,Tomato,-,1074.11,1085.41,1081.15,1078.63,543.00,651.92

