,,,,Marketwise Price & Arrival Report (30-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 30 Mar, 2026","Price on 29 Mar, 2026","Price on 28 Mar, 2026","Arrival on 30 Mar, 2026","Arrival on 29 Mar, 2026","Arrival on 28 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,-,-,2223.31,-,-,56.75
Cereals,Jowar(Sorghum),3699.00,-,-,3265.00,-,-,33.60
Cereals,Maize,2400.00,1550.00,-,-,0.30,-,-
Cereals,Paddy(Common),2369.00,2370.00,-,2284.19,6.00,-,4.30
Cereals,Wheat,2585.00,2574.87,-,2543.25,411.20,-,781.70
Fibre Crops,Cotton,7710.00,7775.45,-,7742.04,160.10,-,203.82
Oil Seeds,Groundnut,7263.00,-,-,6025.00,-,-,0.35
Oil Seeds,Mustard,6200.00,-,-,6327.50,-,-,187.00
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,-,10038.00,-,-,4.25
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7500.00,-,6807.55,0.20,-,14.30
Pulses,Bengal Gram(Gram)(Whole),5875.00,5300.00,-,5155.00,1.70,-,2.44
Pulses,Black Gram(Urd Beans)(Whole),7800.00,-,-,8675.00,-,-,4.20
Pulses,Green Gram(Moong)(Whole),8768.00,-,-,4850.00,-,-,0.25
Vegetables,Onion,-,1208.30,1200.00,1155.70,1497.60,4.60,12097.85
Vegetables,Potato,-,849.07,1400.00,884.75,2024.95,5.40,2069.21
Vegetables,Tomato,-,817.35,1241.61,866.22,848.95,14.90,674.53

