,,,,Marketwise Price & Arrival Report (10-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 10 Feb, 2026","Price on 09 Feb, 2026","Price on 08 Feb, 2026","Arrival on 10 Feb, 2026","Arrival on 09 Feb, 2026","Arrival on 08 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2662.87,2571.66,-,242.85,325.09,-
Cereals,Jowar(Sorghum),3699.00,4638.60,5043.11,-,34.69,61.01,-
Cereals,Maize,2400.00,-,1555.00,-,-,0.30,-
Cereals,Paddy(Common),2369.00,2154.94,2328.95,-,14.67,88.84,-
Cereals,Wheat,2425.00,2472.07,2473.94,-,896.08,1304.20,-
Fibre Crops,Cotton,7710.00,7663.51,7732.74,-,3560.23,2377.96,-
Oil Seeds,Groundnut,7263.00,7140.37,7062.42,-,385.38,810.86,-
Oil Seeds,Mustard,5950.00,6185.19,6456.72,-,2054.58,3671.39,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9791.56,9121.04,-,110.59,118.66,-
Oil Seeds,Soyabean,5328.00,5055.34,5348.79,-,153.34,201.60,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7156.50,7420.55,-,825.55,1093.89,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,6045.60,5464.77,-,145.38,323.06,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7294.35,7266.16,-,43.77,55.83,-
Pulses,Green Gram(Moong)(Whole),8768.00,7296.49,6854.31,-,14.25,18.50,-
Vegetables,Onion,-,1212.31,1131.86,1270.46,5749.08,9961.86,452.96
Vegetables,Potato,-,794.74,800.52,821.02,2082.28,2032.34,969.07
Vegetables,Tomato,-,1041.42,1074.11,1085.41,431.91,1078.63,543.00

