,,,,Marketwise Price & Arrival Report (23-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 23 Jan, 2026","Price on 22 Jan, 2026","Price on 21 Jan, 2026","Arrival on 23 Jan, 2026","Arrival on 22 Jan, 2026","Arrival on 21 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2216.72,2649.98,2667.47,22.11,202.39,243.83
Cereals,Jowar(Sorghum),3699.00,4663.28,4852.22,4410.49,24.10,36.10,36.72
Cereals,Maize,2400.00,1925.00,-,2000.00,0.24,-,0.70
Cereals,Paddy(Common),2369.00,2351.83,2378.26,2240.49,177.76,192.62,251.70
Cereals,Wheat,2425.00,2592.69,2657.92,2625.03,395.61,502.79,436.41
Fibre Crops,Cotton,7710.00,7802.51,7758.23,7657.06,4645.07,4663.83,4905.43
Oil Seeds,Groundnut,7263.00,6577.76,6786.99,6511.90,580.20,1476.57,896.96
Oil Seeds,Mustard,5950.00,5875.94,6257.57,6176.19,13.30,127.63,136.57
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9142.30,9252.10,9766.79,51.16,83.46,133.65
Oil Seeds,Soyabean,5328.00,5052.02,4951.04,4918.11,301.50,279.70,289.40
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7298.83,7010.39,7311.58,863.10,435.52,2997.65
Pulses,Bengal Gram(Gram)(Whole),5650.00,6745.90,6854.52,6628.05,124.45,120.85,96.80
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6604.46,6441.32,6514.93,181.05,48.99,71.30
Pulses,Green Gram(Moong)(Whole),8768.00,6916.02,6769.92,7122.84,55.57,58.25,51.85
Vegetables,Onion,-,1088.47,1235.41,1595.03,2237.56,3884.70,2290.85
Vegetables,Potato,-,995.12,851.16,999.60,1560.35,909.21,1412.75
Vegetables,Tomato,-,1922.90,2589.11,2401.41,630.30,233.65,806.00

