,,,,Marketwise Price & Arrival Report (09-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 09 Mar, 2026","Price on 08 Mar, 2026","Price on 07 Mar, 2026","Arrival on 09 Mar, 2026","Arrival on 08 Mar, 2026","Arrival on 07 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2300.21,-,1923.31,97.87,-,44.76
Cereals,Barley(Jau),1980.00,2150.00,-,2150.00,1.20,-,0.30
Cereals,Jowar(Sorghum),3699.00,4583.27,-,4319.55,117.64,-,158.53
Cereals,Maize,2400.00,1505.00,-,-,1.70,-,-
Cereals,Paddy(Common),2369.00,2340.41,-,2249.82,27.21,-,1.10
Cereals,Wheat,2425.00,2440.81,-,2373.49,8319.63,-,3536.63
Fibre Crops,Cotton,7710.00,7529.94,7752.56,7523.03,976.82,78.00,462.74
Oil Seeds,Groundnut,7263.00,6826.62,-,6739.42,373.57,-,170.44
Oil Seeds,Mustard,5950.00,6159.64,-,6124.57,4713.78,-,2461.05
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9025.51,-,9150.30,89.59,-,64.51
Oil Seeds,Soyabean,5328.00,5225.19,-,4930.84,134.30,-,110.50
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7233.21,-,7255.49,1103.81,-,663.69
Pulses,Bengal Gram(Gram)(Whole),5650.00,5232.64,-,5423.16,2408.10,-,838.45
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6799.61,-,7240.31,25.57,-,18.88
Pulses,Green Gram(Moong)(Whole),8768.00,6862.19,-,5847.83,70.80,-,9.20
Vegetables,Onion,-,1053.16,1082.22,1232.54,12941.26,466.52,5998.81
Vegetables,Potato,-,840.07,817.84,802.17,2588.37,1143.35,2228.13
Vegetables,Tomato,-,1163.30,1103.53,1123.48,808.23,472.37,622.65

