,,,,Marketwise Price & Arrival Report (23-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 23 Feb, 2026","Price on 22 Feb, 2026","Price on 21 Feb, 2026","Arrival on 23 Feb, 2026","Arrival on 22 Feb, 2026","Arrival on 21 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2460.57,-,2395.68,61.67,-,173.52
Cereals,Jowar(Sorghum),3699.00,4682.89,-,4961.84,114.36,-,41.79
Cereals,Maize,2400.00,2105.00,-,-,0.10,-,-
Cereals,Paddy(Common),2369.00,2338.78,-,2303.74,59.65,-,34.69
Cereals,Wheat,2425.00,2486.81,-,2465.74,3107.01,-,2124.81
Fibre Crops,Cotton,7710.00,7621.99,-,7716.30,2034.69,-,2763.47
Oil Seeds,Groundnut,7263.00,7178.66,-,6929.88,480.42,-,187.30
Oil Seeds,Mustard,5950.00,6125.84,-,6162.59,3894.60,-,2757.21
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,8826.28,-,8584.98,76.44,-,49.69
Oil Seeds,Soyabean,5328.00,4812.10,-,4764.42,53.50,-,53.40
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7407.76,-,7502.88,689.23,-,1705.29
Pulses,Bengal Gram(Gram)(Whole),5650.00,5409.29,-,5329.56,1008.91,-,333.90
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7699.73,-,7122.40,93.86,-,27.25
Pulses,Green Gram(Moong)(Whole),8768.00,6960.86,-,7269.92,25.70,-,6.15
Vegetables,Onion,-,1105.53,1116.19,1024.46,11201.63,348.18,8258.96
Vegetables,Potato,-,802.33,863.02,889.19,2242.40,1083.60,1767.78
Vegetables,Tomato,-,919.10,969.19,989.95,811.04,443.94,609.54

