,,,,Marketwise Price & Arrival Report (10-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 10 Mar, 2026","Price on 09 Mar, 2026","Price on 08 Mar, 2026","Arrival on 10 Mar, 2026","Arrival on 09 Mar, 2026","Arrival on 08 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2262.19,2300.21,-,78.93,97.87,-
Cereals,Barley(Jau),2150.00,-,2150.00,-,-,1.20,-
Cereals,Jowar(Sorghum),3699.00,4493.95,4583.27,-,128.80,117.64,-
Cereals,Maize,2400.00,1787.84,1505.00,-,3.70,1.70,-
Cereals,Paddy(Common),2369.00,2340.95,2340.41,-,34.04,27.21,-
Cereals,Wheat,2585.00,2423.34,2440.81,-,6421.57,8319.63,-
Fibre Crops,Cotton,7710.00,7458.06,7529.94,7752.56,4132.71,976.82,78.00
Oil Seeds,Groundnut,7263.00,6911.61,6826.62,-,326.14,373.57,-
Oil Seeds,Mustard,6200.00,6159.75,6159.64,-,2640.17,4713.78,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9778.52,9025.51,-,81.72,89.59,-
Oil Seeds,Soyabean,5328.00,5168.11,5225.19,-,101.90,134.30,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7136.84,7233.21,-,883.36,1103.81,-
Pulses,Bengal Gram(Gram)(Whole),5875.00,5238.59,5232.64,-,1681.74,2408.10,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6679.81,6799.61,-,32.04,25.57,-
Pulses,Green Gram(Moong)(Whole),8768.00,7687.00,6862.19,-,12.15,70.80,-
Vegetables,Onion,-,1031.23,1053.16,1082.22,10709.92,12941.26,466.52
Vegetables,Potato,-,848.43,840.07,817.84,2221.10,2588.37,1143.35
Vegetables,Tomato,-,1246.96,1163.30,1103.53,550.29,808.23,472.37

