,,,,Marketwise Price & Arrival Report (17-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Mar, 2026","Price on 16 Mar, 2026","Price on 15 Mar, 2026","Arrival on 17 Mar, 2026","Arrival on 16 Mar, 2026","Arrival on 15 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2413.10,2388.67,-,182.20,152.48,-
Cereals,Barley(Jau),2150.00,2225.00,2225.00,-,0.80,0.30,-
Cereals,Jowar(Sorghum),3699.00,4217.86,4530.76,-,91.41,163.00,-
Cereals,Maize,2400.00,-,2372.37,-,-,1.90,-
Cereals,Paddy(Common),2369.00,2355.59,2352.30,-,16.85,22.60,-
Cereals,Wheat,2585.00,2476.81,2498.12,-,6623.29,11310.78,-
Fibre Crops,Cotton,7710.00,7437.96,7482.09,-,1101.84,1331.65,-
Oil Seeds,Groundnut,7263.00,7144.02,7103.55,-,197.30,337.89,-
Oil Seeds,Mustard,6200.00,6046.24,6121.45,-,4013.43,2678.45,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9038.35,8884.56,-,66.07,47.60,-
Oil Seeds,Soyabean,5328.00,4989.46,5051.89,-,71.10,66.10,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7082.04,7136.87,-,511.19,814.10,-
Pulses,Bengal Gram(Gram)(Whole),5875.00,5502.46,5405.56,-,1034.15,2410.24,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6803.39,7535.44,-,15.35,15.80,-
Pulses,Green Gram(Moong)(Whole),8768.00,7513.34,7745.22,-,11.20,29.30,-
Vegetables,Onion,-,939.89,967.23,1608.22,11722.75,15269.36,14.60
Vegetables,Potato,-,830.99,827.60,1368.37,2523.62,2413.39,21.18
Vegetables,Tomato,-,1054.98,1011.22,1117.62,674.30,897.29,20.88

