,,,,Marketwise Price & Arrival Report (27-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 27 Jan, 2026","Price on 26 Jan, 2026","Price on 25 Jan, 2026","Arrival on 27 Jan, 2026","Arrival on 26 Jan, 2026","Arrival on 25 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2702.18,-,-,257.45,-,-
Cereals,Jowar(Sorghum),3699.00,4719.91,-,-,55.46,-,-
Cereals,Maize,2400.00,1815.56,-,-,1.80,-,-
Cereals,Paddy(Common),2369.00,2336.45,-,-,146.44,-,-
Cereals,Wheat,2425.00,2605.36,-,-,640.21,-,-
Fibre Crops,Cotton,7710.00,7672.07,-,-,3609.78,-,-
Oil Seeds,Groundnut,7263.00,7401.11,-,-,2417.06,-,-
Oil Seeds,Mustard,5950.00,6045.65,-,-,516.45,-,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9254.55,-,-,85.87,-,-
Oil Seeds,Soyabean,5328.00,5301.05,4000.00,-,415.92,2.00,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7265.90,-,-,957.78,-,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,6473.86,-,-,124.62,-,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6661.36,-,-,87.69,-,-
Pulses,Green Gram(Moong)(Whole),8768.00,7073.52,-,-,72.75,-,-
Vegetables,Onion,-,1178.29,1258.56,1300.00,7671.05,537.10,10.00
Vegetables,Potato,-,905.35,950.20,1365.03,2151.81,1568.80,20.29
Vegetables,Tomato,-,1715.33,1671.27,2843.32,944.35,580.09,16.18

