,,,,Marketwise Price & Arrival Report (16-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 16 Mar, 2026","Price on 15 Mar, 2026","Price on 14 Mar, 2026","Arrival on 16 Mar, 2026","Arrival on 15 Mar, 2026","Arrival on 14 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2212.35,2162.00,2067.83,105.70,168.00,7.60
Cereals,Barley(Jau),2150.00,-,-,4311.00,-,-,30.20
Cereals,Jowar(Sorghum),3699.00,3085.44,3126.58,3513.25,438.00,18.40,15.10
Cereals,Maize,2400.00,1697.53,1703.41,1707.34,4443.20,2534.90,5245.40
Cereals,Paddy(Common),2369.00,2282.25,2285.83,2307.21,1046.10,615.90,535.60
Cereals,Ragi(Finger Millet),4886.00,3464.47,3433.00,3487.65,244.80,573.90,127.10
Cereals,Wheat,2585.00,3878.83,-,3987.82,146.90,-,121.70
Fibre Crops,Cotton,7710.00,7836.24,-,7796.04,3100.20,-,396.50
Oil Seeds,Copra,12100.00,23743.78,29901.96,21094.83,55.50,5.10,29.00
Oil Seeds,Groundnut,7263.00,7856.48,4850.00,7511.01,392.70,11.30,146.60
Oil Seeds,Mustard,6200.00,10250.00,-,10250.00,7.80,-,5.20
Oil Seeds,Safflower,6540.00,4880.78,-,4872.67,15.20,-,3.60
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,-,16500.00,-,-,3.90
Oil Seeds,Soyabean,5328.00,5439.96,4902.00,5346.37,76.70,21.30,106.70
Oil Seeds,Sunflower,7721.00,7284.82,6718.14,6718.72,1423.60,415.80,407.90
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7548.55,7532.67,7515.02,1044.80,154.30,576.10
Pulses,Bengal Gram(Gram)(Whole),5875.00,5071.78,4977.20,5502.88,857.70,325.60,932.50
Pulses,Black Gram(Urd Beans)(Whole),7800.00,12650.00,-,12650.00,312.50,-,9.80
Pulses,Green Gram(Moong)(Whole),8768.00,8956.14,-,10479.65,122.70,-,84.80

