,,,,Marketwise Price & Arrival Report (23-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 23 Mar, 2026","Price on 22 Mar, 2026","Price on 21 Mar, 2026","Arrival on 23 Mar, 2026","Arrival on 22 Mar, 2026","Arrival on 21 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2072.54,1860.00,1925.00,96.30,49.60,15.00
Cereals,Jowar(Sorghum),3699.00,4150.86,3625.00,-,56.50,32.00,-
Cereals,Maize,2400.00,1685.18,1692.89,1681.56,5111.80,2122.50,1211.70
Cereals,Paddy(Common),2369.00,2374.52,2318.43,2230.38,710.30,373.10,518.10
Cereals,Ragi(Finger Millet),4886.00,3168.52,3214.12,3230.27,502.40,367.70,215.80
Cereals,Wheat,2585.00,3774.45,3500.00,-,333.70,1.40,-
Fibre Crops,Cotton,7710.00,7673.99,7194.00,8225.00,1122.70,199.60,19.50
Oil Seeds,Copra,12100.00,20723.71,19800.00,11000.00,48.50,4.50,2.50
Oil Seeds,Groundnut,7263.00,7279.52,4996.00,-,558.30,31.10,-
Oil Seeds,Mustard,6200.00,10250.00,-,-,36.90,-,-
Oil Seeds,Safflower,6540.00,4878.12,4727.00,-,59.10,4.90,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,16500.00,9000.00,-,1.50,29.30,-
Oil Seeds,Soyabean,5328.00,5406.63,5310.00,5214.00,74.50,53.20,73.10
Oil Seeds,Sunflower,7721.00,7240.40,6841.15,6655.93,1396.50,429.00,242.60
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7259.55,7923.54,-,916.30,156.20,-
Pulses,Bengal Gram(Gram)(Whole),5875.00,5266.24,5197.55,5190.01,798.70,232.20,341.30
Pulses,Black Gram(Urd Beans)(Whole),7800.00,9500.00,-,-,51.60,-,-
Pulses,Green Gram(Moong)(Whole),8768.00,8287.83,-,-,152.80,-,-

