,,,,Marketwise Price & Arrival Report (15-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 15 Mar, 2026","Price on 14 Mar, 2026","Price on 13 Mar, 2026","Arrival on 15 Mar, 2026","Arrival on 14 Mar, 2026","Arrival on 13 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2162.00,2067.83,2384.20,168.00,7.60,179.60
Cereals,Barley(Jau),2150.00,-,4311.00,-,-,30.20,-
Cereals,Jowar(Sorghum),3699.00,3126.58,3513.25,3373.83,18.40,15.10,71.60
Cereals,Maize,2400.00,1725.01,1707.34,1655.09,2096.90,5245.40,3611.60
Cereals,Paddy(Common),2369.00,2285.83,2307.21,2154.46,615.90,535.60,752.70
Cereals,Ragi(Finger Millet),4886.00,3433.00,3487.65,3776.96,573.90,127.10,158.90
Cereals,Wheat,2585.00,-,3987.82,3443.87,-,121.70,75.30
Fibre Crops,Cotton,7710.00,-,7796.04,7230.46,-,396.50,131.10
Oil Seeds,Copra,12100.00,30000.00,18180.45,14941.03,0.10,13.30,32.90
Oil Seeds,Groundnut,7263.00,4850.00,7511.01,7577.59,11.30,146.60,207.40
Oil Seeds,Mustard,6200.00,-,10250.00,10250.00,-,5.20,31.10
Oil Seeds,Safflower,6540.00,-,4872.67,4229.36,-,3.60,113.20
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,16500.00,-,-,3.90,-
Oil Seeds,Soyabean,5328.00,4902.00,5346.37,5292.51,21.30,106.70,50.30
Oil Seeds,Sunflower,7721.00,6766.00,6718.72,7075.20,239.70,407.90,484.60
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7532.67,7515.02,7724.19,154.30,576.10,651.80
Pulses,Bengal Gram(Gram)(Whole),5875.00,4977.20,5502.88,5310.03,325.60,932.50,1397.10
Pulses,Black Gram(Urd Beans)(Whole),7800.00,-,12650.00,12650.00,-,9.80,4.00
Pulses,Green Gram(Moong)(Whole),8768.00,-,10479.65,8178.43,-,84.80,128.90

