,,,,Marketwise Price & Arrival Report (10-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 10 Feb, 2026","Price on 09 Feb, 2026","Price on 08 Feb, 2026","Arrival on 10 Feb, 2026","Arrival on 09 Feb, 2026","Arrival on 08 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2000.59,1839.73,2005.00,68.16,15.34,22.30
Cereals,Barley(Jau),1980.00,2546.66,2282.76,2250.00,3.28,25.50,35.40
Cereals,Jowar(Sorghum),3699.00,2005.00,2840.97,-,5.50,63.64,-
Cereals,Maize,2400.00,1525.75,1528.91,1543.24,23808.26,31493.10,2952.81
Cereals,Paddy(Common),2369.00,3996.45,3814.83,3625.32,6507.00,8622.51,2791.67
Cereals,Wheat,2425.00,2466.37,2469.78,2452.35,12149.03,16472.46,1770.36
Fibre Crops,Cotton,7710.00,7570.17,7637.24,8430.70,1342.12,1802.96,732.03
Oil Seeds,Groundnut,7263.00,7108.43,6954.15,7417.01,20.59,34.63,39.53
Oil Seeds,Mustard,5950.00,6005.56,5827.08,6107.16,2621.01,3155.07,80.16
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,8435.15,8435.03,8469.00,18.88,14.48,3.40
Oil Seeds,Soyabean,5328.00,5196.03,5341.34,5225.07,9886.47,11318.58,451.47
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7769.87,7532.44,8307.29,977.95,1756.97,350.15
Pulses,Bengal Gram(Gram)(Whole),5650.00,5301.40,5615.95,5238.27,1621.04,2282.27,118.94
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8311.00,7691.87,8530.39,290.84,415.26,48.79
Pulses,Green Gram(Moong)(Whole),8768.00,7165.47,6771.87,5753.77,41.90,56.63,31.00
Pulses,Lentil(Masur)(Whole),6700.00,5796.12,5807.21,5081.65,566.64,655.06,8.68
Vegetables,Onion,-,1217.30,1191.52,705.22,2156.76,2082.08,102.45
Vegetables,Potato,-,740.67,733.82,569.23,1032.12,1035.50,58.50
Vegetables,Tomato,-,957.41,840.24,942.89,4.27,3.49,8.51

