,,,,Marketwise Price & Arrival Report (06-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 06 Feb, 2026","Price on 05 Feb, 2026","Price on 04 Feb, 2026","Arrival on 06 Feb, 2026","Arrival on 05 Feb, 2026","Arrival on 04 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1874.30,1879.25,1768.99,26.37,47.76,20.46
Cereals,Barley(Jau),1980.00,2335.34,2501.10,2349.85,0.85,5.47,64.26
Cereals,Jowar(Sorghum),3699.00,3600.00,6000.00,5000.00,0.19,3.00,1.21
Cereals,Maize,2400.00,1507.97,1533.22,1546.19,24825.10,24371.85,24298.22
Cereals,Paddy(Common),2369.00,3886.04,3893.79,3855.24,10711.57,13406.19,14056.46
Cereals,Wheat,2425.00,2473.16,2508.67,2484.38,14052.59,12099.42,13129.59
Fibre Crops,Cotton,7710.00,7572.22,7624.72,7676.26,1960.42,1879.00,1311.44
Oil Seeds,Groundnut,7263.00,7224.04,6698.48,7485.66,49.95,68.77,114.97
Oil Seeds,Mustard,5950.00,6185.55,6054.90,5962.90,1710.96,1336.16,1402.94
Oil Seeds,Niger Seed(Ramtil),9537.00,-,9900.00,-,-,2.50,-
Oil Seeds,Safflower,5940.00,-,5000.00,-,-,0.03,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,8224.83,8782.59,7573.20,8.83,24.59,1.03
Oil Seeds,Soyabean,5328.00,5537.89,5610.78,5605.32,9749.66,7782.89,7737.22
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7998.90,7768.74,7819.76,919.73,1408.72,1240.78
Pulses,Bengal Gram(Gram)(Whole),5650.00,5699.05,5709.62,5712.62,1791.07,2053.84,2287.58
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7954.45,7770.54,7620.25,316.69,259.92,288.40
Pulses,Green Gram(Moong)(Whole),8768.00,7798.50,6390.70,6979.92,58.03,109.58,109.90
Pulses,Lentil(Masur)(Whole),6700.00,6002.07,5984.83,5899.81,328.95,318.04,254.02
Vegetables,Onion,-,1066.31,1081.12,1120.05,1526.34,1813.79,1408.49
Vegetables,Potato,-,719.39,947.77,987.76,794.48,1273.85,1020.11
Vegetables,Tomato,-,443.65,995.79,887.08,61.33,15.10,13.75

