,,,,Marketwise Price & Arrival Report (23-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 23 Jan, 2026","Price on 22 Jan, 2026","Price on 21 Jan, 2026","Arrival on 23 Jan, 2026","Arrival on 22 Jan, 2026","Arrival on 21 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2045.82,1927.62,1945.46,150.10,50.75,71.47
Cereals,Barley(Jau),1980.00,2399.93,2307.09,2475.69,36.85,5.32,36.42
Cereals,Jowar(Sorghum),3699.00,2300.00,3931.80,3137.56,2.00,34.86,44.87
Cereals,Maize,2400.00,1562.09,1586.35,1583.07,30524.24,38629.44,43417.60
Cereals,Paddy(Common),2369.00,3724.80,3726.44,3731.26,21690.93,22959.75,27718.47
Cereals,Wheat,2425.00,2528.94,2544.02,2561.46,11727.53,16943.75,20026.43
Fibre Crops,Cotton,7710.00,7439.73,7494.67,7573.28,3279.59,3310.22,3402.37
Oil Seeds,Groundnut,7263.00,6145.27,6545.74,6637.54,283.52,277.27,387.43
Oil Seeds,Mustard,5950.00,6437.33,6350.25,6469.57,918.88,726.48,702.83
Oil Seeds,Niger Seed(Ramtil),9537.00,-,-,9850.00,-,-,4.30
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,7471.60,8067.92,8716.78,8.79,24.59,11.46
Oil Seeds,Soyabean,5328.00,5284.41,5222.37,5176.94,5039.14,7161.97,7062.26
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,6648.63,7178.77,6382.98,1052.59,1396.96,1406.51
Pulses,Bengal Gram(Gram)(Whole),5650.00,5300.71,5319.86,5232.26,1269.62,2035.53,1972.92
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6796.08,6883.81,6684.41,289.83,369.77,416.98
Pulses,Green Gram(Moong)(Whole),8768.00,6725.30,6484.33,7364.05,88.11,63.64,75.84
Pulses,Lentil(Masur)(Whole),6700.00,6118.39,5932.43,6038.82,156.16,273.26,199.59
Vegetables,Onion,-,1301.23,1400.62,1464.18,2098.21,3015.99,2695.69
Vegetables,Potato,-,795.51,829.36,742.72,659.58,1109.56,1152.58
Vegetables,Tomato,-,350.00,350.00,-,105.20,40.20,-

