,,,,Marketwise Price & Arrival Report (29-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 29 Mar, 2026","Price on 28 Mar, 2026","Price on 27 Mar, 2026","Arrival on 29 Mar, 2026","Arrival on 28 Mar, 2026","Arrival on 27 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,-,1736.85,1837.32,-,19.20,17.61
Cereals,Barley(Jau),2150.00,2199.96,2294.69,2190.52,61.32,89.19,206.42
Cereals,Jowar(Sorghum),3699.00,-,-,3900.00,-,-,35.31
Cereals,Maize,2400.00,1622.13,1649.09,1619.98,4169.23,7489.26,3701.00
Cereals,Paddy(Common),2369.00,3554.65,3772.70,4022.58,661.52,2304.89,1186.66
Cereals,Wheat,2585.00,2261.87,2325.34,2331.25,9638.09,19745.66,13873.26
Fibre Crops,Cotton,7710.00,7460.98,7777.68,7588.41,130.99,190.80,213.24
Oil Seeds,Groundnut,7263.00,6575.52,8211.83,9793.62,43.00,59.66,61.01
Oil Seeds,Mustard,6200.00,6637.14,6587.91,6789.20,868.08,1486.35,2359.47
Oil Seeds,Niger Seed(Ramtil),9537.00,-,10500.00,-,-,5.50,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,10200.00,10580.00,-,0.15,1.09
Oil Seeds,Soyabean,5328.00,5166.10,5298.07,5326.38,666.88,1375.62,1289.96
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7380.91,7352.72,7458.62,734.35,1204.19,844.89
Pulses,Bengal Gram(Gram)(Whole),5875.00,5120.23,5375.02,5249.70,826.57,1064.46,969.50
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7498.46,8091.37,8096.56,70.18,245.77,195.65
Pulses,Green Gram(Moong)(Whole),8768.00,-,6803.84,11291.47,-,8.35,24.30
Pulses,Lentil(Masur)(Whole),7000.00,6764.68,6283.23,6019.24,59.48,50.22,64.99
Vegetables,Onion,-,842.90,1027.33,852.25,53.97,980.39,158.60
Vegetables,Potato,-,530.30,1003.08,477.74,33.00,166.45,32.80
Vegetables,Tomato,-,726.13,684.95,628.00,11.48,4.20,6.00

